code,flow,gen_lines,n_trace_fns,trace_ops,fn_median,fn_max,fn_above_500,fma,nenv,interp_calls,fill_div,fill_trans_total,fill_trans_distinct,fill_trans_waste,wrap_trans_total,wrap_trans_distinct,wrap_lines,fill_powr_negative
ym,ZA4,2045,5,2000,277,1302,1,1047,10,35,5,51,4,47,35,18,96,0
ym,ZAcbc,310,6,266,51,77,0,100,8,31,4,4,1,3,22,13,99,0
ym,ZA3,276,3,245,34,193,0,104,6,23,2,2,1,1,16,8,80,0
ym,ZA,56,3,29,6,20,0,10,4,16,1,0,0,0,8,4,68,0
ym,Zc,49,2,25,19,19,0,5,4,14,1,0,0,0,6,3,59,0
